order_item_id,order_id,product_id,quantity,unit_price
1,1,412,1,372.73
2,2,304,1,38.3
3,3,408,1,412.75
4,4,277,1,210.09
5,5,391,1,441.04
6,6,110,1,412.83
7,7,415,1,385.71
8,7,223,2,364.67
9,8,76,1,374.48
10,9,441,2,36.89
11,10,147,1,131.94
12,11,77,1,126.57
13,12,224,1,453.3
14,13,133,1,142.5
15,14,494,1,392.21
16,14,29,2,46.55
17,14,309,1,36.47
18,15,454,1,471.87
19,15,371,2,121.84
20,16,268,1,292.31
21,16,397,2,129.64
22,16,453,1,301.91
23,17,200,2,373.26
24,18,110,3,222.54
25,19,274,1,474.61
26,20,127,3,440.32
27,21,421,1,324.47
28,21,464,1,421.53
29,22,123,1,195.42
30,22,328,3,184.61
31,23,227,1,455.35
32,24,155,1,412.24
33,24,121,1,430.41
34,24,83,2,317.52
35,25,42,2,470.55
36,26,171,1,439.0
37,26,420,1,84.37
38,26,134,1,179.17
39,27,168,1,18.54
40,28,228,1,72.37
41,29,295,1,83.12
42,30,333,1,424.25
43,30,352,1,470.01
44,31,134,1,298.55
45,31,168,1,103.34
46,32,194,2,442.75
47,33,286,1,315.18
48,34,360,2,29.64
49,35,491,1,473.89
50,36,396,2,229.59
51,37,98,2,407.64
52,37,137,1,249.61
53,38,111,3,145.07
54,39,75,1,488.18
55,40,190,1,325.38
56,40,44,1,70.94
57,40,166,3,201.79
58,41,377,1,41.16
59,41,286,1,169.77
60,42,311,2,483.77
61,43,3,1,311.73
62,43,155,3,337.27
63,44,298,1,89.08
64,45,68,1,356.58
65,45,222,1,62.84
66,45,23,3,252.11
67,46,145,2,135.29
68,46,425,1,135.56
69,46,161,1,86.67
70,47,437,2,320.14
71,48,118,1,237.77
72,49,459,2,25.19
73,50,235,1,423.69
74,51,445,1,418.3
75,52,340,1,293.86
76,53,214,2,126.85
77,54,14,1,490.76
78,54,63,1,297.22
79,54,488,1,165.15
80,55,338,1,316.04
81,55,138,1,7.87
82,56,167,2,499.91
83,56,465,3,286.73
84,56,109,2,401.77
85,56,145,1,32.49
86,57,48,1,93.12
87,57,495,1,202.46
88,58,400,1,325.35
89,59,222,1,461.24
90,60,427,1,103.94
91,60,229,2,240.84
92,61,217,2,308.86
93,62,263,1,234.44
94,63,477,1,316.63
95,63,269,1,236.77
96,64,77,3,343.74
97,65,152,1,277.74
98,66,212,1,332.12
99,67,300,1,254.21
100,68,403,1,199.51
101,69,161,1,230.22
102,69,344,1,404.88
103,70,96,1,43.72
104,70,310,1,338.34
105,70,223,1,7.89
106,71,236,1,435.05
107,71,495,1,364.33
108,72,185,1,481.76
109,72,346,1,154.82
110,72,65,1,99.45
111,72,418,1,485.41
112,73,333,1,421.83
113,73,440,1,99.5
114,74,217,1,87.22
115,75,249,1,430.6
116,76,425,2,30.21
117,77,222,3,425.07
118,77,378,1,366.88
119,78,263,1,307.69
120,79,10,1,161.35
121,80,456,1,249.92
122,80,481,1,226.92
123,81,99,1,221.86
124,82,174,2,427.46
125,82,367,1,69.92
126,82,151,1,198.23
127,83,377,1,238.8
128,83,498,2,312.81
129,84,248,1,103.74
130,85,483,3,155.31
131,85,108,1,499.63
132,86,82,1,430.43
133,87,221,1,117.21
134,88,175,1,385.84
135,89,354,2,304.12
136,90,225,1,481.51
137,90,387,1,57.42
138,90,313,1,429.9
139,91,54,1,63.44
140,92,150,1,382.17
141,93,332,1,410.48
142,94,213,1,8.26
143,95,44,1,359.02
144,96,78,1,267.18
145,96,404,1,401.88
146,97,488,2,398.33
147,97,186,2,224.08
148,97,395,1,404.09
149,98,396,1,35.43
150,99,463,1,488.98
151,99,366,1,438.53
152,100,359,1,155.64
153,100,381,1,175.36
154,100,424,1,266.26
155,101,106,2,314.06
156,102,401,1,388.82
157,102,452,1,23.3
158,102,172,1,360.85
159,103,110,1,278.13
160,104,12,1,399.32
161,104,304,1,416.95
162,105,57,1,421.58
163,105,133,1,180.46
164,105,25,1,470.96
165,105,230,1,369.75
166,106,382,3,284.97
167,107,154,1,393.47
168,108,267,1,57.09
169,108,265,1,412.31
170,109,218,2,45.56
171,110,110,1,187.8
172,111,399,1,135.53
173,112,353,2,247.32
174,112,499,1,85.61
175,112,259,1,357.02
176,112,67,3,259.03
177,113,243,1,82.64
178,114,309,2,59.62
179,114,190,1,24.94
180,114,79,1,155.94
181,114,192,1,245.53
182,115,25,2,156.06
183,116,251,1,276.03
184,116,35,2,211.7
185,117,173,1,240.24
186,118,326,1,227.72
187,119,46,1,333.93
188,119,210,1,450.62
189,120,456,1,142.3
190,120,46,2,355.07
191,120,293,1,386.94
192,120,159,1,66.27
193,121,278,1,31.17
194,121,292,1,376.53
195,121,258,2,64.54
196,121,480,1,481.38
197,122,362,2,291.88
198,123,206,1,248.28
199,123,479,1,221.32
200,124,196,1,61.75
201,125,94,1,49.37
202,126,31,1,166.02
203,126,14,1,152.52
204,127,166,1,471.08
205,128,306,1,249.02
206,129,32,1,278.79
207,130,120,2,14.22
208,131,127,1,327.52
209,131,65,1,206.34
210,132,401,3,189.79
211,133,217,3,279.8
212,134,425,1,328.26
